[C:\Users\yanna\OneDrive\Documents\GitHub\IFT3913_TP1\jfreechart\src\main\java\org\jfree\data\json\impl, impl, 713, 246, 0.3450210378681627]
[C:\Users\yanna\OneDrive\Documents\GitHub\IFT3913_TP1\jfreechart\src\main\java\org\jfree\data\json, json, 188, 45, 0.2393617021276596]
[C:\Users\yanna\OneDrive\Documents\GitHub\IFT3913_TP1\jfreechart\src\main\java\org\jfree\data\resources, resources, 357, 261, 0.7310924369747899]
[C:\Users\yanna\OneDrive\Documents\GitHub\IFT3913_TP1\jfreechart\src\main\java\org\jfree\data\statistics, statistics, 5709, 1119, 0.19600630583289544]
[C:\Users\yanna\OneDrive\Documents\GitHub\IFT3913_TP1\jfreechart\src\main\java\org\jfree\data\time\ohlc, ohlc, 846, 215, 0.2541371158392435]
[C:\Users\yanna\OneDrive\Documents\GitHub\IFT3913_TP1\jfreechart\src\main\java\org\jfree\data\time, time, 10113, 1921, 0.1899535251656284]
[C:\Users\yanna\OneDrive\Documents\GitHub\IFT3913_TP1\jfreechart\src\main\java\org\jfree\data\xml, xml, 1129, 428, 0.37909654561558903]
[C:\Users\yanna\OneDrive\Documents\GitHub\IFT3913_TP1\jfreechart\src\main\java\org\jfree\data\xy, xy, 11443, 2882, 0.251857030498995]
[C:\Users\yanna\OneDrive\Documents\GitHub\IFT3913_TP1\jfreechart\src\main\java\org\jfree\data, data, 4681, 1314, 0.2807092501602222]
[C:\Users\yanna\OneDrive\Documents\GitHub\IFT3913_TP1\jfreechart\src\main\java, java, 42, 2, 0.047619047619047616]
[C:\Users\yanna\OneDrive\Documents\GitHub\IFT3913_TP1\jfreechart\src\test\java\org\jfree\chart\annotations, annotations, 2011, 664, 0.330183988065639]
[C:\Users\yanna\OneDrive\Documents\GitHub\IFT3913_TP1\jfreechart\src\test\java\org\jfree\chart\api, api, 85, 37, 0.43529411764705883]
[C:\Users\yanna\OneDrive\Documents\GitHub\IFT3913_TP1\jfreechart\src\test\java\org\jfree\chart\axis, axis, 5027, 1451, 0.28864133678138054]
[C:\Users\yanna\OneDrive\Documents\GitHub\IFT3913_TP1\jfreechart\src\test\java\org\jfree\chart\block, block, 1988, 626, 0.3148893360160966]
[C:\Users\yanna\OneDrive\Documents\GitHub\IFT3913_TP1\jfreechart\src\test\java\org\jfree\chart\entity, entity, 793, 313, 0.39470365699873894]
[C:\Users\yanna\OneDrive\Documents\GitHub\IFT3913_TP1\jfreechart\src\test\java\org\jfree\chart\imagemap, imagemap, 338, 208, 0.6153846153846154]
[C:\Users\yanna\OneDrive\Documents\GitHub\IFT3913_TP1\jfreechart\src\test\java\org\jfree\chart\internal, internal, 527, 225, 0.4269449715370019]
[C:\Users\yanna\OneDrive\Documents\GitHub\IFT3913_TP1\jfreechart\src\test\java\org\jfree\chart\labels, labels, 2461, 886, 0.36001625355546524]
[C:\Users\yanna\OneDrive\Documents\GitHub\IFT3913_TP1\jfreechart\src\test\java\org\jfree\chart\legend, legend, 479, 148, 0.3089770354906054]
[C:\Users\yanna\OneDrive\Documents\GitHub\IFT3913_TP1\jfreechart\src\test\java\org\jfree\chart\plot\compass, compass, 863, 433, 0.5017381228273464]
[C:\Users\yanna\OneDrive\Documents\GitHub\IFT3913_TP1\jfreechart\src\test\java\org\jfree\chart\plot\dial, dial, 1715, 591, 0.3446064139941691]
[C:\Users\yanna\OneDrive\Documents\GitHub\IFT3913_TP1\jfreechart\src\test\java\org\jfree\chart\plot\flow, flow, 240, 43, 0.17916666666666667]
[C:\Users\yanna\OneDrive\Documents\GitHub\IFT3913_TP1\jfreechart\src\test\java\org\jfree\chart\plot\pie, pie, 869, 184, 0.21173762945914845]
