Complexity metrics,mar., 25 oct. 2022 00:22:40 EDT
Method,CogC,ev(G),iv(G),v(G)
org.jfree.chart.legend.LegendItem.LegendItem(String),0,1,1,1
"org.jfree.chart.legend.LegendItem.LegendItem(String, Paint)",0,1,1,1
"org.jfree.chart.legend.LegendItem.LegendItem(String, String, String, String, Shape, Paint)",0,1,1,1
"org.jfree.chart.legend.LegendItem.LegendItem(String, String, String, String, Shape, Paint, Stroke, ...)",0,1,1,1
"org.jfree.chart.legend.LegendItem.LegendItem(String, String, String, String, Shape, Stroke, Paint)",0,1,1,1
"org.jfree.chart.legend.LegendItem.LegendItem(String, String, String, String, boolean, Shape, boolean, ...)",0,1,1,1
org.jfree.chart.legend.LegendItem.characterIteratorToString(CharacterIterator),2,2,2,3
org.jfree.chart.legend.LegendItem.clone(),2,1,3,3
org.jfree.chart.legend.LegendItem.equals(Object),21,22,1,22
org.jfree.chart.legend.LegendItem.getAttributedLabel(),0,1,1,1
org.jfree.chart.legend.LegendItem.getDataset(),0,1,1,1
org.jfree.chart.legend.LegendItem.getDatasetIndex(),0,1,1,1
org.jfree.chart.legend.LegendItem.getDescription(),0,1,1,1
org.jfree.chart.legend.LegendItem.getFillPaint(),0,1,1,1
org.jfree.chart.legend.LegendItem.getFillPaintTransformer(),0,1,1,1
org.jfree.chart.legend.LegendItem.getLabel(),0,1,1,1
org.jfree.chart.legend.LegendItem.getLabelFont(),0,1,1,1
org.jfree.chart.legend.LegendItem.getLabelPaint(),0,1,1,1
org.jfree.chart.legend.LegendItem.getLine(),0,1,1,1
org.jfree.chart.legend.LegendItem.getLinePaint(),0,1,1,1
org.jfree.chart.legend.LegendItem.getLineStroke(),0,1,1,1
org.jfree.chart.legend.LegendItem.getOutlinePaint(),0,1,1,1
org.jfree.chart.legend.LegendItem.getOutlineStroke(),0,1,1,1
org.jfree.chart.legend.LegendItem.getSeriesIndex(),0,1,1,1
org.jfree.chart.legend.LegendItem.getSeriesKey(),0,1,1,1
org.jfree.chart.legend.LegendItem.getShape(),0,1,1,1
org.jfree.chart.legend.LegendItem.getToolTipText(),0,1,1,1
org.jfree.chart.legend.LegendItem.getURLText(),0,1,1,1
org.jfree.chart.legend.LegendItem.hashCode(),4,1,1,5
org.jfree.chart.legend.LegendItem.isLineVisible(),0,1,1,1
org.jfree.chart.legend.LegendItem.isShapeFilled(),0,1,1,1
org.jfree.chart.legend.LegendItem.isShapeOutlineVisible(),0,1,1,1
org.jfree.chart.legend.LegendItem.isShapeVisible(),0,1,1,1
org.jfree.chart.legend.LegendItem.readObject(ObjectInputStream),0,1,1,1
org.jfree.chart.legend.LegendItem.setDataset(Dataset),0,1,1,1
org.jfree.chart.legend.LegendItem.setDatasetIndex(int),0,1,1,1
org.jfree.chart.legend.LegendItem.setDescription(String),0,1,1,1
org.jfree.chart.legend.LegendItem.setFillPaint(Paint),0,1,1,1
org.jfree.chart.legend.LegendItem.setFillPaintTransformer(GradientPaintTransformer),0,1,1,1
org.jfree.chart.legend.LegendItem.setLabelFont(Font),0,1,1,1
org.jfree.chart.legend.LegendItem.setLabelPaint(Paint),0,1,1,1
org.jfree.chart.legend.LegendItem.setLine(Shape),0,1,1,1
org.jfree.chart.legend.LegendItem.setLinePaint(Paint),0,1,1,1
org.jfree.chart.legend.LegendItem.setLineStroke(Stroke),0,1,1,1
org.jfree.chart.legend.LegendItem.setLineVisible(boolean),0,1,1,1
org.jfree.chart.legend.LegendItem.setOutlinePaint(Paint),0,1,1,1
org.jfree.chart.legend.LegendItem.setOutlineStroke(Stroke),0,1,1,1
org.jfree.chart.legend.LegendItem.setSeriesIndex(int),0,1,1,1
org.jfree.chart.legend.LegendItem.setSeriesKey(Comparable),0,1,1,1
org.jfree.chart.legend.LegendItem.setShape(Shape),0,1,1,1
org.jfree.chart.legend.LegendItem.setShapeVisible(boolean),0,1,1,1
org.jfree.chart.legend.LegendItem.setToolTipText(String),0,1,1,1
org.jfree.chart.legend.LegendItem.setURLText(String),0,1,1,1
org.jfree.chart.legend.LegendItem.writeObject(ObjectOutputStream),0,1,1,1
"org.jfree.chart.legend.LegendItemBlockContainer.LegendItemBlockContainer(Arrangement, Dataset, Comparable)",0,1,1,1
"org.jfree.chart.legend.LegendItemBlockContainer.draw(Graphics2D, Rectangle2D, Object)",3,1,3,3
org.jfree.chart.legend.LegendItemBlockContainer.getDataset(),0,1,1,1
org.jfree.chart.legend.LegendItemBlockContainer.getSeriesIndex(),0,1,1,1
org.jfree.chart.legend.LegendItemBlockContainer.getSeriesKey(),0,1,1,1
org.jfree.chart.legend.LegendItemBlockContainer.getToolTipText(),0,1,1,1
org.jfree.chart.legend.LegendItemBlockContainer.getURLText(),0,1,1,1
org.jfree.chart.legend.LegendItemBlockContainer.setToolTipText(String),0,1,1,1
org.jfree.chart.legend.LegendItemBlockContainer.setURLText(String),0,1,1,1
org.jfree.chart.legend.LegendItemCollection.LegendItemCollection(),0,1,1,1
org.jfree.chart.legend.LegendItemCollection.add(LegendItem),0,1,1,1
org.jfree.chart.legend.LegendItemCollection.addAll(LegendItemCollection),0,1,1,1
org.jfree.chart.legend.LegendItemCollection.clone(),0,1,1,1
org.jfree.chart.legend.LegendItemCollection.equals(Object),3,4,1,4
org.jfree.chart.legend.LegendItemCollection.get(int),0,1,1,1
org.jfree.chart.legend.LegendItemCollection.getItemCount(),0,1,1,1
org.jfree.chart.legend.LegendItemCollection.hashCode(),0,1,1,1
org.jfree.chart.legend.LegendItemCollection.iterator(),0,1,1,1
org.jfree.chart.legend.LegendTitle.LegendTitle(LegendItemSource),0,1,1,1
"org.jfree.chart.legend.LegendTitle.LegendTitle(LegendItemSource, Arrangement, Arrangement)",0,1,1,1
org.jfree.chart.legend.LegendTitle.addItemBlock(LegendItem),0,1,1,1
"org.jfree.chart.legend.LegendTitle.arrange(Graphics2D, RectangleConstraint)",2,2,1,3
org.jfree.chart.legend.LegendTitle.createLegendItemBlock(LegendItem),2,1,1,3
"org.jfree.chart.legend.LegendTitle.draw(Graphics2D, Rectangle2D)",0,1,1,1
"org.jfree.chart.legend.LegendTitle.draw(Graphics2D, Rectangle2D, Object)",8,1,6,8
org.jfree.chart.legend.LegendTitle.equals(Object),12,13,1,13
org.jfree.chart.legend.LegendTitle.fetchLegendItems(),22,1,9,9
org.jfree.chart.legend.LegendTitle.getBackgroundPaint(),0,1,1,1
org.jfree.chart.legend.LegendTitle.getItemContainer(),0,1,1,1
org.jfree.chart.legend.LegendTitle.getItemFont(),0,1,1,1
org.jfree.chart.legend.LegendTitle.getItemLabelPadding(),0,1,1,1
org.jfree.chart.legend.LegendTitle.getItemPaint(),0,1,1,1
org.jfree.chart.legend.LegendTitle.getLegendItemGraphicAnchor(),0,1,1,1
org.jfree.chart.legend.LegendTitle.getLegendItemGraphicEdge(),0,1,1,1
org.jfree.chart.legend.LegendTitle.getLegendItemGraphicLocation(),0,1,1,1
org.jfree.chart.legend.LegendTitle.getLegendItemGraphicPadding(),0,1,1,1
org.jfree.chart.legend.LegendTitle.getSortOrder(),0,1,1,1
org.jfree.chart.legend.LegendTitle.getSources(),0,1,1,1
org.jfree.chart.legend.LegendTitle.getWrapper(),0,1,1,1
org.jfree.chart.legend.LegendTitle.readObject(ObjectInputStream),0,1,1,1
org.jfree.chart.legend.LegendTitle.receive(ChartElementVisitor),0,1,1,1
org.jfree.chart.legend.LegendTitle.setBackgroundPaint(Paint),0,1,1,1
org.jfree.chart.legend.LegendTitle.setItemFont(Font),0,1,1,1
org.jfree.chart.legend.LegendTitle.setItemLabelPadding(RectangleInsets),0,1,1,1
org.jfree.chart.legend.LegendTitle.setItemPaint(Paint),0,1,1,1
org.jfree.chart.legend.LegendTitle.setLegendItemGraphicAnchor(RectangleAnchor),0,1,1,1
org.jfree.chart.legend.LegendTitle.setLegendItemGraphicEdge(RectangleEdge),0,1,1,1
org.jfree.chart.legend.LegendTitle.setLegendItemGraphicLocation(RectangleAnchor),0,1,1,1
org.jfree.chart.legend.LegendTitle.setLegendItemGraphicPadding(RectangleInsets),0,1,1,1
org.jfree.chart.legend.LegendTitle.setSortOrder(SortOrder),0,1,1,1
org.jfree.chart.legend.LegendTitle.setSources(LegendItemSource[]),0,1,1,1
org.jfree.chart.legend.LegendTitle.setWrapper(BlockContainer),0,1,1,1
org.jfree.chart.legend.LegendTitle.writeObject(ObjectOutputStream),0,1,1,1
org.jfree.chart.legend.LegendTitleTest.testCloning(),0,1,1,1
org.jfree.chart.legend.LegendTitleTest.testEquals(),0,1,1,1
org.jfree.chart.legend.LegendTitleTest.testHashcode(),0,1,1,1
org.jfree.chart.legend.LegendTitleTest.testSerialization(),0,1,1,1
"org.jfree.chart.legend.PaintScaleLegend.PaintScaleLegend(PaintScale, ValueAxis)",0,1,1,1
"org.jfree.chart.legend.PaintScaleLegend.arrange(Graphics2D, RectangleConstraint)",15,13,6,13
"org.jfree.chart.legend.PaintScaleLegend.arrangeRR(Graphics2D, Range, Range)",5,3,3,5
org.jfree.chart.legend.PaintScaleLegend.axisChanged(AxisChangeEvent),1,1,2,2
"org.jfree.chart.legend.PaintScaleLegend.draw(Graphics2D, Rectangle2D)",0,1,1,1
"org.jfree.chart.legend.PaintScaleLegend.draw(Graphics2D, Rectangle2D, Object)",33,1,15,15
org.jfree.chart.legend.PaintScaleLegend.equals(Object),11,12,1,12
org.jfree.chart.legend.PaintScaleLegend.getAxis(),0,1,1,1
org.jfree.chart.legend.PaintScaleLegend.getAxisLocation(),0,1,1,1
org.jfree.chart.legend.PaintScaleLegend.getAxisOffset(),0,1,1,1
org.jfree.chart.legend.PaintScaleLegend.getBackgroundPaint(),0,1,1,1
org.jfree.chart.legend.PaintScaleLegend.getScale(),0,1,1,1
org.jfree.chart.legend.PaintScaleLegend.getStripOutlinePaint(),0,1,1,1
org.jfree.chart.legend.PaintScaleLegend.getStripOutlineStroke(),0,1,1,1
org.jfree.chart.legend.PaintScaleLegend.getStripWidth(),0,1,1,1
org.jfree.chart.legend.PaintScaleLegend.getSubdivisionCount(),0,1,1,1
org.jfree.chart.legend.PaintScaleLegend.isStripOutlineVisible(),0,1,1,1
org.jfree.chart.legend.PaintScaleLegend.readObject(ObjectInputStream),0,1,1,1
org.jfree.chart.legend.PaintScaleLegend.setAxis(ValueAxis),0,1,1,1
org.jfree.chart.legend.PaintScaleLegend.setAxisLocation(AxisLocation),0,1,1,1
org.jfree.chart.legend.PaintScaleLegend.setAxisOffset(double),0,1,1,1
org.jfree.chart.legend.PaintScaleLegend.setBackgroundPaint(Paint),0,1,1,1
org.jfree.chart.legend.PaintScaleLegend.setScale(PaintScale),0,1,1,1
org.jfree.chart.legend.PaintScaleLegend.setStripOutlinePaint(Paint),0,1,1,1
org.jfree.chart.legend.PaintScaleLegend.setStripOutlineStroke(Stroke),0,1,1,1
org.jfree.chart.legend.PaintScaleLegend.setStripOutlineVisible(boolean),0,1,1,1
org.jfree.chart.legend.PaintScaleLegend.setStripWidth(double),0,1,1,1
org.jfree.chart.legend.PaintScaleLegend.setSubdivisionCount(int),1,2,1,2
org.jfree.chart.legend.PaintScaleLegend.writeObject(ObjectOutputStream),0,1,1,1
org.jfree.chart.legend.PaintScaleLegendTest.testCloning(),0,1,1,1
org.jfree.chart.legend.PaintScaleLegendTest.testEquals(),0,1,1,1
org.jfree.chart.legend.PaintScaleLegendTest.testHashcode(),0,1,1,1
org.jfree.chart.legend.PaintScaleLegendTest.testSerialization(),0,1,1,1
org.jfree.chart.plot.CategoryCrosshairState.CategoryCrosshairState(),0,1,1,1
org.jfree.chart.plot.CategoryCrosshairState.getColumnKey(),0,1,1,1
org.jfree.chart.plot.CategoryCrosshairState.getRowKey(),0,1,1,1
org.jfree.chart.plot.CategoryCrosshairState.setColumnKey(C),0,1,1,1
org.jfree.chart.plot.CategoryCrosshairState.setRowKey(R),0,1,1,1
"org.jfree.chart.plot.CategoryCrosshairState.updateCrosshairPoint(R, C, double, int, double, double, PlotOrientation)",5,1,3,4
"org.jfree.chart.plot.CategoryCrosshairState.updateCrosshairX(R, C, int, double, PlotOrientation)",5,1,4,4
org.jfree.chart.plot.CategoryMarker.CategoryMarker(Comparable<?>),0,1,1,1
"org.jfree.chart.plot.CategoryMarker.CategoryMarker(Comparable<?>, Paint, Stroke)",0,1,1,1
"org.jfree.chart.plot.CategoryMarker.CategoryMarker(Comparable<?>, Paint, Stroke, Paint, Stroke, float)",0,1,1,1
org.jfree.chart.plot.CategoryMarker.equals(Object),5,6,1,6
org.jfree.chart.plot.CategoryMarker.getDrawAsLine(),0,1,1,1
org.jfree.chart.plot.CategoryMarker.getKey(),0,1,1,1
org.jfree.chart.plot.CategoryMarker.hashCode(),1,1,1,2
org.jfree.chart.plot.CategoryMarker.setDrawAsLine(boolean),0,1,1,1
org.jfree.chart.plot.CategoryMarker.setKey(Comparable<?>),0,1,1,1
org.jfree.chart.plot.CategoryMarkerTest.markerChanged(MarkerChangeEvent),0,1,1,1
org.jfree.chart.plot.CategoryMarkerTest.testCloning(),0,1,1,1
org.jfree.chart.plot.CategoryMarkerTest.testEquals(),0,1,1,1
org.jfree.chart.plot.CategoryMarkerTest.testGetSetDrawAsLine(),0,1,1,1
org.jfree.chart.plot.CategoryMarkerTest.testGetSetKey(),1,1,2,2
org.jfree.chart.plot.CategoryMarkerTest.testSerialization(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.CategoryPlot(),0,1,1,1
"org.jfree.chart.plot.CategoryPlot.CategoryPlot(CategoryDataset<R, C>, CategoryAxis, ValueAxis, CategoryItemRenderer)",4,1,5,5
org.jfree.chart.plot.CategoryPlot.addAnnotation(CategoryAnnotation),0,1,1,1
"org.jfree.chart.plot.CategoryPlot.addAnnotation(CategoryAnnotation, boolean)",1,1,2,2
org.jfree.chart.plot.CategoryPlot.addDomainMarker(CategoryMarker),0,1,1,1
"org.jfree.chart.plot.CategoryPlot.addDomainMarker(CategoryMarker, Layer)",0,1,1,1
"org.jfree.chart.plot.CategoryPlot.addDomainMarker(int, CategoryMarker, Layer)",0,1,1,1
"org.jfree.chart.plot.CategoryPlot.addDomainMarker(int, CategoryMarker, Layer, boolean)",7,1,6,6
org.jfree.chart.plot.CategoryPlot.addRangeMarker(Marker),0,1,1,1
"org.jfree.chart.plot.CategoryPlot.addRangeMarker(Marker, Layer)",0,1,1,1
"org.jfree.chart.plot.CategoryPlot.addRangeMarker(int, Marker, Layer)",0,1,1,1
"org.jfree.chart.plot.CategoryPlot.addRangeMarker(int, Marker, Layer, boolean)",7,1,6,6
org.jfree.chart.plot.CategoryPlot.annotationChanged(AnnotationChangeEvent),2,1,2,2
"org.jfree.chart.plot.CategoryPlot.calculateAxisSpace(Graphics2D, Rectangle2D)",0,1,1,1
"org.jfree.chart.plot.CategoryPlot.calculateDomainAxisSpace(Graphics2D, Rectangle2D, AxisSpace)",13,1,7,8
"org.jfree.chart.plot.CategoryPlot.calculateRangeAxisSpace(Graphics2D, Rectangle2D, AxisSpace)",11,1,6,7
org.jfree.chart.plot.CategoryPlot.checkAxisIndices(List<Integer>),5,5,2,5
org.jfree.chart.plot.CategoryPlot.clearAnnotations(),1,1,2,2
org.jfree.chart.plot.CategoryPlot.clearDomainAxes(),3,1,3,3
org.jfree.chart.plot.CategoryPlot.clearDomainMarkers(),6,1,5,5
org.jfree.chart.plot.CategoryPlot.clearDomainMarkers(int),12,1,7,7
org.jfree.chart.plot.CategoryPlot.clearRangeAxes(),3,1,3,3
org.jfree.chart.plot.CategoryPlot.clearRangeMarkers(),6,1,5,5
org.jfree.chart.plot.CategoryPlot.clearRangeMarkers(int),12,1,7,7
org.jfree.chart.plot.CategoryPlot.clone(),15,1,12,12
org.jfree.chart.plot.CategoryPlot.configureDomainAxes(),3,1,3,3
org.jfree.chart.plot.CategoryPlot.configureRangeAxes(),3,1,3,3
org.jfree.chart.plot.CategoryPlot.datasetChanged(DatasetChangeEvent),5,1,4,4
org.jfree.chart.plot.CategoryPlot.datasetsMappedToDomainAxis(int),12,3,5,6
org.jfree.chart.plot.CategoryPlot.datasetsMappedToRangeAxis(int),10,1,5,5
"org.jfree.chart.plot.CategoryPlot.draw(Graphics2D, Rectangle2D, Point2D, PlotState, PlotRenderingInfo)",42,3,26,33
"org.jfree.chart.plot.CategoryPlot.drawAnnotations(Graphics2D, Rectangle2D)",3,1,3,3
"org.jfree.chart.plot.CategoryPlot.drawAxes(Graphics2D, Rectangle2D, Rectangle2D, PlotRenderingInfo)",18,1,13,13
"org.jfree.chart.plot.CategoryPlot.drawBackground(Graphics2D, Rectangle2D)",0,1,1,1
"org.jfree.chart.plot.CategoryPlot.drawDomainCrosshair(Graphics2D, Rectangle2D, PlotOrientation, int, R, C, Stroke, ...)",2,1,2,2
"org.jfree.chart.plot.CategoryPlot.drawDomainGridlines(Graphics2D, Rectangle2D)",8,3,4,6
"org.jfree.chart.plot.CategoryPlot.drawDomainMarkers(Graphics2D, Rectangle2D, int, Layer)",5,2,3,5
"org.jfree.chart.plot.CategoryPlot.drawRangeCrosshair(Graphics2D, Rectangle2D, PlotOrientation, double, ValueAxis, Stroke, Paint)",3,2,2,3
"org.jfree.chart.plot.CategoryPlot.drawRangeGridlines(Graphics2D, Rectangle2D, List<ValueTick>)",14,4,10,13
"org.jfree.chart.plot.CategoryPlot.drawRangeLine(Graphics2D, Rectangle2D, double, Stroke, Paint)",2,1,3,3
"org.jfree.chart.plot.CategoryPlot.drawRangeMarkers(Graphics2D, Rectangle2D, int, Layer)",5,2,3,5
"org.jfree.chart.plot.CategoryPlot.drawZeroRangeBaseline(Graphics2D, Rectangle2D)",1,2,1,2
org.jfree.chart.plot.CategoryPlot.equals(Object),51,52,1,52
org.jfree.chart.plot.CategoryPlot.findRangeAxisIndex(ValueAxis),3,3,3,3
org.jfree.chart.plot.CategoryPlot.getAnchorValue(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.getAnnotations(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.getAxisOffset(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.getCategories(),1,1,2,2
org.jfree.chart.plot.CategoryPlot.getCategoriesForAxis(CategoryAxis),6,1,4,4
org.jfree.chart.plot.CategoryPlot.getColumnRenderingOrder(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.getCrosshairDatasetIndex(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.getDataRange(ValueAxis),5,1,5,5
org.jfree.chart.plot.CategoryPlot.getDataset(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.getDataset(int),0,1,1,1
org.jfree.chart.plot.CategoryPlot.getDatasetCount(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.getDatasetIndices(DatasetRenderingOrder),4,1,4,4
org.jfree.chart.plot.CategoryPlot.getDatasetRenderingOrder(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.getDatasets(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.getDomainAxes(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.getDomainAxis(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.getDomainAxis(int),3,1,3,3
org.jfree.chart.plot.CategoryPlot.getDomainAxisCount(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.getDomainAxisEdge(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.getDomainAxisEdge(int),3,1,2,2
org.jfree.chart.plot.CategoryPlot.getDomainAxisForDataset(int),2,1,2,2
org.jfree.chart.plot.CategoryPlot.getDomainAxisIndex(CategoryAxis),3,3,3,3
org.jfree.chart.plot.CategoryPlot.getDomainAxisLocation(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.getDomainAxisLocation(int),2,1,2,2
org.jfree.chart.plot.CategoryPlot.getDomainCrosshairColumnKey(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.getDomainCrosshairPaint(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.getDomainCrosshairRowKey(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.getDomainCrosshairStroke(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.getDomainGridlinePaint(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.getDomainGridlinePosition(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.getDomainGridlineStroke(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.getDomainMarkers(Layer),0,1,1,1
"org.jfree.chart.plot.CategoryPlot.getDomainMarkers(int, Layer)",3,1,4,4
org.jfree.chart.plot.CategoryPlot.getDrawSharedDomainAxis(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.getFixedDomainAxisSpace(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.getFixedLegendItems(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.getFixedRangeAxisSpace(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.getIndexOf(CategoryItemRenderer),3,3,3,3
org.jfree.chart.plot.CategoryPlot.getLegendItems(),7,2,4,5
org.jfree.chart.plot.CategoryPlot.getOrientation(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.getPlotType(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.getRangeAxes(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.getRangeAxis(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.getRangeAxis(int),3,1,3,3
org.jfree.chart.plot.CategoryPlot.getRangeAxisCount(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.getRangeAxisEdge(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.getRangeAxisEdge(int),0,1,1,1
org.jfree.chart.plot.CategoryPlot.getRangeAxisForDataset(int),2,1,2,2
org.jfree.chart.plot.CategoryPlot.getRangeAxisIndex(ValueAxis),3,1,3,3
org.jfree.chart.plot.CategoryPlot.getRangeAxisLocation(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.getRangeAxisLocation(int),2,1,2,2
org.jfree.chart.plot.CategoryPlot.getRangeCrosshairPaint(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.getRangeCrosshairStroke(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.getRangeCrosshairValue(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.getRangeGridlinePaint(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.getRangeGridlineStroke(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.getRangeMarkers(Layer),0,1,1,1
"org.jfree.chart.plot.CategoryPlot.getRangeMarkers(int, Layer)",3,1,4,4
org.jfree.chart.plot.CategoryPlot.getRangeMinorGridlinePaint(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.getRangeMinorGridlineStroke(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.getRangeZeroBaselinePaint(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.getRangeZeroBaselineStroke(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.getRenderer(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.getRenderer(int),1,2,2,2
org.jfree.chart.plot.CategoryPlot.getRendererCount(),0,1,1,1
"org.jfree.chart.plot.CategoryPlot.getRendererForDataset(CategoryDataset<R, C>)",2,3,2,3
org.jfree.chart.plot.CategoryPlot.getRendererIndices(DatasetRenderingOrder),4,1,4,4
org.jfree.chart.plot.CategoryPlot.getRenderers(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.getRowRenderingOrder(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.getShadowGenerator(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.getWeight(),0,1,1,1
"org.jfree.chart.plot.CategoryPlot.handleClick(int, int, PlotRenderingInfo)",4,1,2,4
org.jfree.chart.plot.CategoryPlot.hashCode(),46,1,38,47
"org.jfree.chart.plot.CategoryPlot.indexOf(CategoryDataset<R, C>)",3,3,3,3
org.jfree.chart.plot.CategoryPlot.integerise(Rectangle2D),0,1,1,1
org.jfree.chart.plot.CategoryPlot.isDomainCrosshairVisible(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.isDomainGridlinesVisible(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.isDomainPannable(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.isDomainZoomable(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.isRangeCrosshairLockedOnData(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.isRangeCrosshairVisible(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.isRangeGridlinesVisible(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.isRangeMinorGridlinesVisible(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.isRangePannable(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.isRangeZeroBaselineVisible(),0,1,1,1
org.jfree.chart.plot.CategoryPlot.isRangeZoomable(),0,1,1,1
"org.jfree.chart.plot.CategoryPlot.mapDatasetToDomainAxes(int, List<Integer>)",0,1,1,1
"org.jfree.chart.plot.CategoryPlot.mapDatasetToDomainAxis(int, int)",0,1,1,1
"org.jfree.chart.plot.CategoryPlot.mapDatasetToRangeAxes(int, List<Integer>)",0,1,1,1
"org.jfree.chart.plot.CategoryPlot.mapDatasetToRangeAxis(int, int)",0,1,1,1
"org.jfree.chart.plot.CategoryPlot.panDomainAxes(double, PlotRenderingInfo, Point2D)",0,1,1,1
"org.jfree.chart.plot.CategoryPlot.panRangeAxes(double, PlotRenderingInfo, Point2D)",6,4,2,5
org.jfree.chart.plot.CategoryPlot.readObject(ObjectInputStream),12,1,9,9
org.jfree.chart.plot.CategoryPlot.receive(ChartElementVisitor),9,1,7,7
org.jfree.chart.plot.CategoryPlot.removeAnnotation(CategoryAnnotation),0,1,1,1
"org.jfree.chart.plot.CategoryPlot.removeAnnotation(CategoryAnnotation, boolean)",2,1,2,3
org.jfree.chart.plot.CategoryPlot.removeDomainMarker(CategoryMarker),0,1,1,1
"org.jfree.chart.plot.CategoryPlot.removeDomainMarker(CategoryMarker, Layer)",0,1,1,1
"org.jfree.chart.plot.CategoryPlot.removeDomainMarker(int, CategoryMarker, Layer)",0,1,1,1
"org.jfree.chart.plot.CategoryPlot.removeDomainMarker(int, CategoryMarker, Layer, boolean)",5,2,3,5
org.jfree.chart.plot.CategoryPlot.removeRangeMarker(Marker),0,1,1,1
"org.jfree.chart.plot.CategoryPlot.removeRangeMarker(Marker, Layer)",0,1,1,1
"org.jfree.chart.plot.CategoryPlot.removeRangeMarker(int, Marker, Layer)",0,1,1,1
"org.jfree.chart.plot.CategoryPlot.removeRangeMarker(int, Marker, Layer, boolean)",5,2,3,5
"org.jfree.chart.plot.CategoryPlot.render(Graphics2D, Rectangle2D, int, PlotRenderingInfo, CategoryCrosshairState<R, C>)",52,1,12,13
org.jfree.chart.plot.CategoryPlot.rendererChanged(RendererChangeEvent),5,3,3,3
org.jfree.chart.plot.CategoryPlot.setAnchorValue(double),0,1,1,1
"org.jfree.chart.plot.CategoryPlot.setAnchorValue(double, boolean)",1,1,2,2
org.jfree.chart.plot.CategoryPlot.setAxisOffset(RectangleInsets),0,1,1,1
org.jfree.chart.plot.CategoryPlot.setColumnRenderingOrder(SortOrder),0,1,1,1
org.jfree.chart.plot.CategoryPlot.setCrosshairDatasetIndex(int),0,1,1,1
"org.jfree.chart.plot.CategoryPlot.setCrosshairDatasetIndex(int, boolean)",1,1,2,2
"org.jfree.chart.plot.CategoryPlot.setDataset(CategoryDataset<R, C>)",0,1,1,1
"org.jfree.chart.plot.CategoryPlot.setDataset(int, CategoryDataset<R, C>)",2,1,3,3
org.jfree.chart.plot.CategoryPlot.setDatasetRenderingOrder(DatasetRenderingOrder),0,1,1,1
org.jfree.chart.plot.CategoryPlot.setDomainAxes(CategoryAxis[]),1,1,2,2
org.jfree.chart.plot.CategoryPlot.setDomainAxis(CategoryAxis),0,1,1,1
