Complexity metrics,mar., 25 oct. 2022 00:22:40 EDT
Method,CogC,ev(G),iv(G),v(G)
"org.jfree.chart.ChartFactory.createXYLineChart(String, String, String, XYDataset)",0,1,1,1
"org.jfree.chart.ChartFactory.createXYLineChart(String, String, String, XYDataset, PlotOrientation, boolean, boolean, ...)",2,1,3,3
"org.jfree.chart.ChartFactory.createXYStepAreaChart(String, String, String, XYDataset)",0,1,1,1
"org.jfree.chart.ChartFactory.createXYStepAreaChart(String, String, String, XYDataset, PlotOrientation, boolean, boolean, ...)",2,1,1,3
"org.jfree.chart.ChartFactory.createXYStepChart(String, String, String, XYDataset)",0,1,1,1
"org.jfree.chart.ChartFactory.createXYStepChart(String, String, String, XYDataset, PlotOrientation, boolean, boolean, ...)",2,1,1,3
org.jfree.chart.ChartFactory.getChartTheme(),0,1,1,1
org.jfree.chart.ChartFactory.setChartTheme(ChartTheme),4,1,3,3
org.jfree.chart.ChartHints.ChartHints(),0,1,1,1
org.jfree.chart.ChartHints.Key.Key(int),0,1,1,1
org.jfree.chart.ChartHints.Key.isCompatibleValue(Object),3,3,1,6
org.jfree.chart.ChartRenderingInfo.ChartRenderingInfo(),0,1,1,1
org.jfree.chart.ChartRenderingInfo.ChartRenderingInfo(EntityCollection),0,1,1,1
org.jfree.chart.ChartRenderingInfo.clear(),1,1,2,2
org.jfree.chart.ChartRenderingInfo.clone(),2,1,3,3
org.jfree.chart.ChartRenderingInfo.equals(Object),5,6,1,6
org.jfree.chart.ChartRenderingInfo.getChartArea(),0,1,1,1
org.jfree.chart.ChartRenderingInfo.getEntityCollection(),0,1,1,1
org.jfree.chart.ChartRenderingInfo.getPlotInfo(),0,1,1,1
org.jfree.chart.ChartRenderingInfo.hashCode(),0,1,1,1
org.jfree.chart.ChartRenderingInfo.readObject(ObjectInputStream),0,1,1,1
org.jfree.chart.ChartRenderingInfo.setChartArea(Rectangle2D),0,1,1,1
org.jfree.chart.ChartRenderingInfo.setEntityCollection(EntityCollection),0,1,1,1
org.jfree.chart.ChartRenderingInfo.writeObject(ObjectOutputStream),0,1,1,1
org.jfree.chart.ChartRenderingInfoTest.testCloning(),0,1,1,1
org.jfree.chart.ChartRenderingInfoTest.testEquals(),0,1,1,1
org.jfree.chart.ChartRenderingInfoTest.testSerialization(),0,1,1,1
org.jfree.chart.ChartRenderingInfoTest.testSerialization2(),0,1,1,1
"org.jfree.chart.ChartTransferable.ChartTransferable(JFreeChart, int, int)",0,1,1,1
"org.jfree.chart.ChartTransferable.ChartTransferable(JFreeChart, int, int, boolean)",0,1,1,1
"org.jfree.chart.ChartTransferable.ChartTransferable(JFreeChart, int, int, int, int, int, int, ...)",1,1,1,2
"org.jfree.chart.ChartTransferable.createBufferedImage(JFreeChart, int, int, int, int, int, int)",5,1,2,6
org.jfree.chart.ChartTransferable.getTransferData(DataFlavor),2,2,2,2
org.jfree.chart.ChartTransferable.getTransferDataFlavors(),0,1,1,1
org.jfree.chart.ChartTransferable.isDataFlavorSupported(DataFlavor),0,1,1,1
org.jfree.chart.ChartUtils.applyCurrentTheme(JFreeChart),0,1,1,1
org.jfree.chart.ChartUtils.encodeAsPNG(BufferedImage),0,1,1,1
"org.jfree.chart.ChartUtils.encodeAsPNG(BufferedImage, boolean, int)",0,1,1,1
"org.jfree.chart.ChartUtils.getImageMap(String, ChartRenderingInfo)",0,1,1,1
"org.jfree.chart.ChartUtils.getImageMap(String, ChartRenderingInfo, ToolTipTagFragmentGenerator, URLTagFragmentGenerator)",0,1,1,1
org.jfree.chart.ChartUtils.isJFreeSVGAvailable(),1,1,1,2
org.jfree.chart.ChartUtils.isOrsonPDFAvailable(),1,1,1,2
"org.jfree.chart.ChartUtils.saveChartAsJPEG(File, JFreeChart, int, int)",0,1,1,1
"org.jfree.chart.ChartUtils.saveChartAsJPEG(File, JFreeChart, int, int, ChartRenderingInfo)",0,1,1,1
"org.jfree.chart.ChartUtils.saveChartAsJPEG(File, float, JFreeChart, int, int)",0,1,1,1
"org.jfree.chart.ChartUtils.saveChartAsJPEG(File, float, JFreeChart, int, int, ChartRenderingInfo)",0,1,1,1
"org.jfree.chart.ChartUtils.saveChartAsPNG(File, JFreeChart, int, int)",0,1,1,1
"org.jfree.chart.ChartUtils.saveChartAsPNG(File, JFreeChart, int, int, ChartRenderingInfo)",0,1,1,1
"org.jfree.chart.ChartUtils.saveChartAsPNG(File, JFreeChart, int, int, ChartRenderingInfo, boolean, int)",0,1,1,1
"org.jfree.chart.ChartUtils.writeBufferedImageAsJPEG(OutputStream, BufferedImage)",0,1,1,1
"org.jfree.chart.ChartUtils.writeBufferedImageAsJPEG(OutputStream, float, BufferedImage)",0,1,1,1
"org.jfree.chart.ChartUtils.writeBufferedImageAsPNG(OutputStream, BufferedImage)",0,1,1,1
"org.jfree.chart.ChartUtils.writeBufferedImageAsPNG(OutputStream, BufferedImage, boolean, int)",0,1,1,1
"org.jfree.chart.ChartUtils.writeChartAsJPEG(OutputStream, JFreeChart, int, int)",0,1,1,1
"org.jfree.chart.ChartUtils.writeChartAsJPEG(OutputStream, JFreeChart, int, int, ChartRenderingInfo)",0,1,1,1
"org.jfree.chart.ChartUtils.writeChartAsJPEG(OutputStream, float, JFreeChart, int, int)",0,1,1,1
"org.jfree.chart.ChartUtils.writeChartAsJPEG(OutputStream, float, JFreeChart, int, int, ChartRenderingInfo)",0,1,1,1
"org.jfree.chart.ChartUtils.writeChartAsPNG(OutputStream, JFreeChart, int, int)",0,1,1,1
"org.jfree.chart.ChartUtils.writeChartAsPNG(OutputStream, JFreeChart, int, int, ChartRenderingInfo)",0,1,1,1
"org.jfree.chart.ChartUtils.writeChartAsPNG(OutputStream, JFreeChart, int, int, ChartRenderingInfo, boolean, int)",0,1,1,1
"org.jfree.chart.ChartUtils.writeChartAsPNG(OutputStream, JFreeChart, int, int, boolean, int)",0,1,1,1
"org.jfree.chart.ChartUtils.writeImageMap(PrintWriter, String, ChartRenderingInfo, ToolTipTagFragmentGenerator, URLTagFragmentGenerator)",0,1,1,1
"org.jfree.chart.ChartUtils.writeImageMap(PrintWriter, String, ChartRenderingInfo, boolean)",2,1,1,2
"org.jfree.chart.ChartUtils.writeScaledChartAsPNG(OutputStream, JFreeChart, int, int, int, int)",4,1,2,4
org.jfree.chart.GanttChartTest.LocalListener.chartChanged(ChartChangeEvent),0,1,1,1
org.jfree.chart.GanttChartTest.createDataset(),0,1,1,1
org.jfree.chart.GanttChartTest.createGanttChart(),0,1,1,1
"org.jfree.chart.GanttChartTest.date(int, int, int)",0,1,1,1
org.jfree.chart.GanttChartTest.setUp(),0,1,1,1
org.jfree.chart.GanttChartTest.testDrawWithNullInfo(),1,1,2,2
org.jfree.chart.GanttChartTest.testDrawWithNullInfo2(),0,1,1,1
org.jfree.chart.GanttChartTest.testReplaceDataset(),0,1,1,1
org.jfree.chart.GanttChartTest.testSetSeriesToolTipGenerator(),0,1,1,1
org.jfree.chart.GanttChartTest.testSetSeriesURLGenerator(),0,1,1,1
org.jfree.chart.JFreeChart.JFreeChart(Plot),0,1,1,1
"org.jfree.chart.JFreeChart.JFreeChart(String, Font, Plot, boolean)",4,1,3,4
"org.jfree.chart.JFreeChart.JFreeChart(String, Plot)",0,1,1,1
org.jfree.chart.JFreeChart.addChangeListener(ChartChangeListener),0,1,1,1
org.jfree.chart.JFreeChart.addLegend(LegendTitle),0,1,1,1
org.jfree.chart.JFreeChart.addProgressListener(ChartProgressListener),0,1,1,1
org.jfree.chart.JFreeChart.addSubtitle(Title),0,1,1,1
"org.jfree.chart.JFreeChart.addSubtitle(int, Title)",0,1,1,1
org.jfree.chart.JFreeChart.clearSubtitles(),1,1,2,2
org.jfree.chart.JFreeChart.clone(),3,1,4,4
"org.jfree.chart.JFreeChart.createAlignedRectangle2D(Size2D, Rectangle2D, HorizontalAlignment, VerticalAlignment)",2,1,1,7
"org.jfree.chart.JFreeChart.createBufferedImage(int, int)",0,1,1,1
"org.jfree.chart.JFreeChart.createBufferedImage(int, int, ChartRenderingInfo)",0,1,1,1
"org.jfree.chart.JFreeChart.createBufferedImage(int, int, double, double, ChartRenderingInfo)",0,1,1,1
"org.jfree.chart.JFreeChart.createBufferedImage(int, int, int, ChartRenderingInfo)",0,1,1,1
"org.jfree.chart.JFreeChart.draw(Graphics2D, Rectangle2D)",0,1,1,1
"org.jfree.chart.JFreeChart.draw(Graphics2D, Rectangle2D, ChartRenderingInfo)",0,1,1,1
"org.jfree.chart.JFreeChart.draw(Graphics2D, Rectangle2D, Point2D, ChartRenderingInfo)",25,1,17,20
"org.jfree.chart.JFreeChart.drawTitle(Title, Graphics2D, Rectangle2D, boolean)",4,3,6,8
org.jfree.chart.JFreeChart.equals(Object),15,16,1,16
org.jfree.chart.JFreeChart.fireChartChanged(),0,1,1,1
org.jfree.chart.JFreeChart.getAntiAlias(),0,1,1,1
org.jfree.chart.JFreeChart.getBackgroundImage(),0,1,1,1
org.jfree.chart.JFreeChart.getBackgroundImageAlignment(),0,1,1,1
org.jfree.chart.JFreeChart.getBackgroundImageAlpha(),0,1,1,1
org.jfree.chart.JFreeChart.getBackgroundPaint(),0,1,1,1
org.jfree.chart.JFreeChart.getBorderPaint(),0,1,1,1
org.jfree.chart.JFreeChart.getBorderStroke(),0,1,1,1
org.jfree.chart.JFreeChart.getElementHinting(),0,1,1,1
org.jfree.chart.JFreeChart.getID(),0,1,1,1
org.jfree.chart.JFreeChart.getLegend(),0,1,1,1
org.jfree.chart.JFreeChart.getLegend(int),7,4,1,4
org.jfree.chart.JFreeChart.getPadding(),0,1,1,1
org.jfree.chart.JFreeChart.getPlot(),0,1,1,1
org.jfree.chart.JFreeChart.getRenderingHints(),0,1,1,1
org.jfree.chart.JFreeChart.getSubtitle(int),2,2,2,3
org.jfree.chart.JFreeChart.getSubtitleCount(),0,1,1,1
org.jfree.chart.JFreeChart.getSubtitles(),0,1,1,1
org.jfree.chart.JFreeChart.getTextAntiAlias(),0,1,1,1
org.jfree.chart.JFreeChart.getTitle(),0,1,1,1
"org.jfree.chart.JFreeChart.handleClick(int, int, ChartRenderingInfo)",0,1,1,1
org.jfree.chart.JFreeChart.hashCode(),2,1,1,3
org.jfree.chart.JFreeChart.isBorderVisible(),0,1,1,1
org.jfree.chart.JFreeChart.isNotify(),0,1,1,1
org.jfree.chart.JFreeChart.notifyListeners(ChartChangeEvent),6,1,4,4
org.jfree.chart.JFreeChart.notifyListeners(ChartProgressEvent),3,1,3,3
org.jfree.chart.JFreeChart.plotChanged(PlotChangeEvent),0,1,1,1
org.jfree.chart.JFreeChart.readObject(ObjectInputStream),2,1,3,3
org.jfree.chart.JFreeChart.receive(ChartElementVisitor),0,1,1,1
org.jfree.chart.JFreeChart.removeChangeListener(ChartChangeListener),0,1,1,1
org.jfree.chart.JFreeChart.removeLegend(),0,1,1,1
org.jfree.chart.JFreeChart.removeProgressListener(ChartProgressListener),0,1,1,1
org.jfree.chart.JFreeChart.removeSubtitle(Title),0,1,1,1
org.jfree.chart.JFreeChart.setAntiAlias(boolean),1,1,1,2
org.jfree.chart.JFreeChart.setBackgroundImage(Image),6,1,4,4
org.jfree.chart.JFreeChart.setBackgroundImageAlignment(RectangleAlignment),1,1,2,2
org.jfree.chart.JFreeChart.setBackgroundImageAlpha(float),1,1,2,2
org.jfree.chart.JFreeChart.setBackgroundPaint(Paint),6,1,4,4
org.jfree.chart.JFreeChart.setBorderPaint(Paint),0,1,1,1
